material_code,description,category,unit,manufacturer,image
BHEL-BOLT-001,HEX HEAD BOLT M16 X 50 SS304,FASTENER,PCS,BHEL,bolt.jpg
BHEL-BOLT-002,HIGH TENSILE BOLT M12 X 40 GRADE 8.8,FASTENER,PCS,BHEL,bolt1.jpg
SAIL-BOLT-003,STAINLESS STEEL HEX HEAD BOLT M16 X 50MM,FASTENER,PCS,SAIL,bolt2.jpg
HPCL-BOLT-004,GALVANIZED HEX BOLT M20 X 60,FASTENER,PCS,HPCL,bolt3.jpg
NTPC-BOLT-005,CARBON STEEL HEAVY HEX BOLT M24 X 80,FASTENER,PCS,NTPC,bolt4.jpg
PGCIL-BOLT-006,STAINLESS STEEL STUD BOLT M14 X 45,FASTENER,PCS,POWERGRID,bolt5.jpg
BHEL-BRG-001,DEEP GROOVE BALL BEARING 6208 C3,BEARING,PCS,BHEL,bear1.jpeg
BHEL-BRG-002,CYLINDRICAL ROLLER BEARING 32010,BEARING,PCS,BHEL,bear2.jpeg
SAIL-BRG-003,SPHERICAL ROLLER BEARING 22216,BEARING,PCS,SAIL,bear3.jpeg
NTPC-BRG-004,TAPERED ROLLER BEARING 30206,BEARING,PCS,NTPC,bear4.jpeg
IOCL-BRG-005,NEEDLE ROLLER BEARING HK2016,BEARING,PCS,IOCL,bear5.jpeg
GAIL-VLV-001,CAST STEEL BUTTERFLY VALVE 4 INCH 150 LB,VALVE,PCS,GAIL,butterfly_valve1.jpg
HPCL-VLV-002,WAFER TYPE BUTTERFLY VALVE 6 INCH PN16,VALVE,PCS,HPCL,butterfly_valve2.jpg
IOCL-ELB-001,90 DEGREE CARBON STEEL ELBOW 2 INCH SCH 40,PIPE FITTING,PCS,IOCL,elbow1.avif
BPCL-ELB-002,STAINLESS STEEL 304 ELBOW 3 INCH 3000 LB,PIPE FITTING,PCS,BPCL,elbow2.webp
GAIL-ELB-003,SEAMLESS 45 DEGREE PIPE ELBOW 4 INCH,PIPE FITTING,PCS,GAIL,elbow3.jpg
ONGC-ELB-004,LONG RADIUS ELBOW 6 INCH SCH 80,PIPE FITTING,PCS,ONGC,elbow4.jpg
HPCL-ELB-005,STAINLESS STEEL 316 ELBOW 1.5 INCH,PIPE FITTING,PCS,HPCL,elbow5.webp
SAIL-ELB-006,CARBON STEEL FORGED ELBOW 2 INCH,PIPE FITTING,PCS,SAIL,elbow6.webp
BHEL-ELB-007,THREADED PIPE ELBOW 1 INCH 3000 LB,PIPE FITTING,PCS,BHEL,elbow7.webp
HPCL-FLG-001,ANSI B16.5 CLASS 150 WELD NECK FLANGE 2 INCH,PIPE FITTING,PCS,HPCL,flange1.jpg
BPCL-FLG-002,STAINLESS STEEL SLIP-ON FLANGE 3 INCH,PIPE FITTING,PCS,BPCL,flange2.jpg
ONGC-FLG-003,BLIND FLANGE 4 INCH CLASS 300 SS316,PIPE FITTING,PCS,ONGC,flange3.jpg
SAIL-FLG-004,CARBON STEEL SOCKET WELD FLANGE 2 INCH,PIPE FITTING,PCS,SAIL,flange4.jpg
BHEL-FLG-005,THREADED PIPE FLANGE 1.5 INCH 150 LB,PIPE FITTING,PCS,BHEL,flange5.jpg
IOCL-FLG-006,LAP JOINT FLANGE 6 INCH CLASS 150,PIPE FITTING,PCS,IOCL,flange6.jpg
NTPC-FLG-007,HIGH PRESSURE FORGED FLANGE 8 INCH 600 LB,PIPE FITTING,PCS,NTPC,flange7.jpg
ONGC-GSK-001,SPIRAL WOUND GASKET 2 INCH 150 LB SS316,SEALING,PCS,ONGC,gasket1.jpg
HPCL-GSK-002,NON-ASBESTOS RING GASKET 3 INCH PN16,SEALING,PCS,HPCL,gasket2.jpg
GAIL-GSK-003,PTFE FLANGE GASKET 4 INCH 150 LB,SEALING,PCS,GAIL,gasket3.jpg
IOCL-GSK-004,GRAPHITE SPIRAL WOUND GASKET 2 INCH 300 LB,SEALING,PCS,IOCL,gasket4.jpg
BPCL-GSK-005,RUBBER SHEET FLANGE GASKET 1.5 INCH,SEALING,PCS,BPCL,gasket5.jpg
NTPC-GSK-006,METALLIC RING JOINT GASKET RTJ R16,SEALING,PCS,NTPC,gasket6.jpg
GAIL-GATE-001,CAST STEEL GATE VALVE 2 INCH 300 LB,VALVE,PCS,GAIL,gas1.jpg
HPCL-GATE-002,FORGED STEEL GATE VALVE 1 INCH 800 LB,VALVE,PCS,HPCL,gas2.jpg
IOCL-GATE-003,STAINLESS STEEL GATE VALVE 3 INCH 150 LB,VALVE,PCS,IOCL,gas3.jpg
ONGC-GATE-004,FLANGED GATE VALVE 4 INCH CLASS 300,VALVE,PCS,ONGC,gas4.jpg
BPCL-GATE-005,HIGH PRESSURE GATE VALVE 2 INCH 600 LB,VALVE,PCS,BPCL,gas5.jpg
BHEL-GATE-006,BRONZE SCREWED GATE VALVE 1.5 INCH,VALVE,PCS,BHEL,gas6.jpg
BHEL-NUT-001,HEAVY HEX NUT M16 SS304,FASTENER,PCS,BHEL,nut1.jpg
SAIL-NUT-002,GALVANIZED HIGH TENSILE NUT M20 GRADE 8,FASTENER,PCS,SAIL,nut2.jpg
ONGC-RNG-001,NITRILE RUBBER O-RING 25MM X 3MM,SEALING,PCS,ONGC,o_ring1.jpg
HPCL-RNG-002,VITON HIGH TEMP O-RING 30MM X 4MM,SEALING,PCS,HPCL,o_ring2.jpg
BHEL-WSH-001,STAINLESS STEEL FLAT WASHER M16 SS304,FASTENER,PCS,BHEL,washer1.jpg
SAIL-WSH-002,SPRING LOCK WASHER M12 CARBON STEEL,FASTENER,PCS,SAIL,washer2.jpg
