material_code,order_number,line_number,supplier,period,quantity,uom,unit_price,currency,lead_time_days
BHEL-BRG-002,DEMO-PI-2604-BRG,1,DEMO SUPPLIER ALPHA,2026-04,120,EA,4250,INR,18
BHEL-BRG-002,DEMO-PI-2605-BRG,1,DEMO SUPPLIER ALPHA,2026-05,150,EA,4325,INR,17
BHEL-BRG-002,DEMO-PI-2606-BRG,1,DEMO SUPPLIER BETA,2026-06,100,EA,4400,INR,19
BHEL-BRG-002,DEMO-PI-2607-BRG,1,DEMO SUPPLIER BETA,2026-07,180,EA,4475,INR,16
BHEL-BRG-002,DEMO-PI-2608-BRG,1,DEMO SUPPLIER ALPHA,2026-08,140,EA,4550,INR,18
BHEL-BRG-002,DEMO-PI-2609-BRG,1,DEMO SUPPLIER ALPHA,2026-09,160,EA,4625,INR,17
BG-9003,DEMO-PI-2604-BOLT,1,DEMO FASTENERS LTD,2026-04,900,EA,74,INR,10
BG-9003,DEMO-PI-2605-BOLT,1,DEMO FASTENERS LTD,2026-05,1250,EA,76,INR,11
BG-9003,DEMO-PI-2606-BOLT,1,DEMO FASTENERS LTD,2026-06,1100,EA,75,INR,9
BG-9003,DEMO-PI-2607-BOLT,1,DEMO INDUSTRIAL SUPPLY,2026-07,1400,EA,79,INR,12
BG-9003,DEMO-PI-2608-BOLT,1,DEMO INDUSTRIAL SUPPLY,2026-08,1300,EA,82,INR,10
BG-9003,DEMO-PI-2609-BOLT,1,DEMO FASTENERS LTD,2026-09,1600,EA,85,INR,11
BHEL-9170,DEMO-PI-2604-PIPE,1,DEMO PIPEWORKS,2026-04,500,M,890,INR,21
BHEL-9170,DEMO-PI-2605-PIPE,1,DEMO PIPEWORKS,2026-05,620,M,905,INR,20
BHEL-9170,DEMO-PI-2606-PIPE,1,DEMO PIPEWORKS,2026-06,575,M,898,INR,22
BHEL-9170,DEMO-PI-2607-PIPE,1,DEMO STEELWORKS,2026-07,680,M,930,INR,21
BHEL-9170,DEMO-PI-2608-PIPE,1,DEMO STEELWORKS,2026-08,640,M,955,INR,23
BHEL-9170,DEMO-PI-2609-PIPE,1,DEMO PIPEWORKS,2026-09,700,M,970,INR,20
BG-9299,DEMO-PI-2604-CHK,1,DEMO VALVES CO,2026-04,45,EA,7850,INR,25
BG-9299,DEMO-PI-2605-CHK,1,DEMO VALVES CO,2026-05,50,EA,7900,INR,24
BG-9299,DEMO-PI-2606-CHK,1,DEMO VALVES CO,2026-06,40,EA,7825,INR,26
BG-9299,DEMO-PI-2607-CHK,1,DEMO FLOW SYSTEMS,2026-07,55,EA,8100,INR,25
BG-9299,DEMO-PI-2608-CHK,1,DEMO FLOW SYSTEMS,2026-08,60,EA,8250,INR,24
BG-9299,DEMO-PI-2609-CHK,1,DEMO VALVES CO,2026-09,52,EA,8400,INR,26
